Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
7/13/2016,Student loan,Federal student loan servicing,Can't repay my loan,Can't decrease my monthly payments,,,"Navient Solutions, LLC.",NC,22703,,N/A,Referral,7/19/2016,Closed with explanation,Yes,No,2010353
11/23/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",NJ,11725,,N/A,Referral,12/1/2015,Closed with explanation,Yes,No,1668537
12/23/2015,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CA,95126,,Consent not provided,Web,12/23/2015,Closed with explanation,Yes,No,1712561
8/28/2015,Credit card,,APR or interest rate,,,Company chooses not to provide a public response,"CITIBANK, N.A.",CA,96002,,Consent not provided,Web,8/28/2015,Closed with explanation,Yes,No,1542378
8/9/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,AZ,85653,,N/A,Web,8/20/2013,Closed with explanation,Yes,No,486109
2/16/2015,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"EQUIFAX, INC.",NY,10550,,N/A,Web,2/16/2015,Closed with explanation,Yes,Yes,1241542
11/21/2016,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,EXETER FINANCE CORP.,CA,91706,,Consent not provided,Web,11/21/2016,Closed with explanation,Yes,No,2218587
1/9/2015,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,"CITIBANK, N.A.",CA,93436,,N/A,Web,1/9/2015,Closed with explanation,Yes,No,1188611
1/25/2017,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Keep getting calls about my loan,,,Kirschenbaum & Phillips P.C,NY,11221,,Consent not provided,Web,1/30/2017,Closed with explanation,Yes,No,2309969
5/21/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"In XXXX 2015 I began working with Watermark Home Loan ( broker : XXXX XXXX ) in order to refinance the current ARM on my primary residence. The result of this process was absolutely unacceptable. Only when I inquired about the status of my loan application two weeks prior to the expiry of the 45-day loan lock period, did I learn about missing documentation. I had been under the impression that it was their job to shepherd the process through to completion. Silly me - apparently it was my job! On multiple occasions sensitive documents ( containing social security numbers ) were transmitted via e-mail without password protection ( despite being described as password-protected ). And getting any response from them took multiple e-mail inquiries on my part. Finally, there was no accountability or apology for their total failure to complete the process. Excuses were made about "" too many moving parts '' because I am semi-retired and living off of investment income. Meanwhile, I wasted a lot of time and money ( on a useless appraisal ), and lost a prime opportunity to refinance my ARM with a fixed rate loan.",Company disputes the facts presented in the complaint,"WATERMARK CAPITAL, INC.",WA,980XX,,Consent provided,Web,5/21/2015,Closed,Yes,No,1387041
1/9/2017,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,Company believes complaint is the result of an isolated error,Ditech Financial LLC,CA,95388,,Consent not provided,Web,1/9/2017,Closed with explanation,Yes,No,2281528
9/10/2015,Bank account or service,Checking account,Problems caused by my funds being low,,,Company chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",TX,77381,,Consent not provided,Web,9/10/2015,Closed with monetary relief,Yes,No,1559768
6/8/2015,Credit reporting,,Incorrect information on credit report,Account terms,The Credit Bureaus are reporting that my monthly payment for XXXX of my student loans are above $ XXXX when in fact it is only {$290.00} for all XXXX consolidated loans. This is throwing my debt to income ratio off.,Company chooses not to provide a public response,EXPERIAN DELAWARE GP,NY,117XX,,Consent provided,Web,6/8/2015,Closed with explanation,Yes,No,1411967
1/31/2017,Credit reporting,,Incorrect information on credit report,Account status,,,JPMORGAN CHASE & CO.,NY,11576,,Consent not provided,Web,2/3/2017,Closed with explanation,Yes,No,2320371
6/20/2014,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,NY,11730,,N/A,Web,6/20/2014,Closed,Yes,Yes,903404
12/13/2016,Credit reporting,,Incorrect information on credit report,Account status,"Experian is the only bureau that is DOUBLE reporting this inaccurate information. XXXX creditors are attempting to collect the same debt at the same time. It is erroneous and the other bureaus have fixed it, yet Experian claims it is valid. They are reporting XXXX XXXX XXXX old balance and charged off account $ XXXX ... 
They are also reporting XXXX XXXX XXXX XXXX for XXXX XXXX with the same debt & balance! How can XXXX creditors collect on the same debt? They ca n't because it is against the law in the FCRA.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,CA,923XX,,Consent provided,Web,12/13/2016,Closed with explanation,Yes,No,2248676
6/14/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11553,,N/A,Phone,6/17/2013,Closed with explanation,Yes,No,432471
1/10/2012,Mortgage,Other mortgage,Settlement process and costs,,,,OCWEN LOAN SERVICING LLC,NJ,8723,,N/A,Web,3/23/2012,Closed with relief,Yes,No,12198
2/13/2017,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",TX,75001,,N/A,Referral,2/16/2017,Closed with explanation,Yes,No,2342139
2/11/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,EVERBANK,CA,92108,,N/A,Referral,2/14/2014,Closed with explanation,Yes,No,708768
10/30/2015,Credit card,,Billing statement,,"I logged onto my Bank of America online account on XXXX XXXX and my account showed that I had a payment of {$32.00} due on XXXX XXXX. I made the payment at that time. When I logged on again on XXXX XXXX, my account showed a past due amount of {$32.00} and a late fee of {$25.00}. I verified that the payment of {$32.00} posted to my bank account on the XXXX of XXXX and called B of A. I was told that my XX/XX/XXXX statement closed on XX/XX/XXXX and that my payment of {$32.00} for XX/XX/XXXX was applied to my XX/XX/XXXX statement. After I explained that my online account showed a payment due for XXXX XXXX, the XXXX reversed the late fee and I was told that the payment would be applied to my XX/XX/XXXX statement. I checked my online account today and my statement for XX/XX/XXXX shows a late fee of {$25.00} and past due of {$32.00}, as well as credits for {$25.00} and {$32.00} ( meaning that the credits were applied to principal instead of reversing the charges ). Additionally, my minimum payment amount, which contractually should be 1 % of the outstanding balance was now {$89.00} instead of the {$32.00} is should be. This was because B of A was adding the late fee and "" past due amount '' to the minimum amount due ( {$32.00} + {$25.00} + {$32.00} = {$89.00} ). I have contacted Bank of America 's customer service multiply times and have been told that there is nothing that they can do. I feel that it is an unfair and deceptive practice for a company to tell a customer that they have a payment due and after the customer makes the payment, apply it to the previous statement cycle and increase the next minimum payment due. While the increase from {$32.00} to {$89.00} has little affect on my ability to make my payment, I 'm concerned that this practice could but some borrowers into the position of not being able to make the increased payment. If this is happening because of a timing issue between B of A 's online system and accounting system, it seems to me that it is something that B of A should correct, not an issue that should be passed on to their consumers.",Company chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",UT,846XX,,Consent provided,Web,10/30/2015,Closed with monetary relief,Yes,No,1633450
6/15/2014,Bank account or service,Checking account,Using a debit or ATM card,,,,JPMORGAN CHASE & CO.,CA,92056,,N/A,Web,6/15/2014,Closed with explanation,Yes,Yes,895721
10/30/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",CT,6902,,N/A,Referral,11/1/2013,Closed with explanation,Yes,Yes,577241
7/14/2016,Consumer Loan,Vehicle lease,Managing the loan or lease,,"Ally financially made a billing error. This is a non-valid debt. We have been fighting with them for 3 years to get this corrected. My husband 's lease ended in 2013. We were over the miles and planned to purchase the vehicle, however the dealer talked him into re-leasing instead and the dealer bought the vehicle. He explained this would absolve any fees. Our buyout quoted price from Ally was {$16000.00}, XXXX XXXX ( dealership ) paid Ally {$16000.00} for the vehicle. The dealership assured us we would not be responsible for anything further ( as did Ally ). For some reason Ally still sent us a bill about a month later for over mileage ( even though this vehicle was purchased by the dealer and not returned to Ally ). We have been going rounds with them to get this corrected. I even filed a XXXX report with them in 2013 where a manager responded and assured me it would be removed. However it never was.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,ALLY FINANCIAL INC.,MI,480XX,,Consent provided,Web,7/14/2016,Closed with explanation,Yes,No,2012701
6/3/2016,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,"I have continually received calls from Transworld Systems about a debt that was paid before it was sent to collection. We found out I was in collection when I received the first call last year. I explained to the XXXX, rude person that debt had been paid. I sent by email a copy of the online banking records. The calls went away for a period of time, only to start again. I have again explained that bill was paid, records were sent and told basically I was a liar. They are calling everyday now. 
I want it to go away. We pay our bills and deserve to be treated as such",,TRANSWORLD SYSTEMS INC,ID,836XX,Older American,Consent provided,Web,6/3/2016,Closed with explanation,Yes,No,1950980
1/7/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"Stuart-Lippman and Associates, Inc",WA,99205,,N/A,Referral,1/12/2015,Closed with explanation,Yes,No,1184263
3/26/2014,Debt collection,I do not know,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,,,"Enova International, Inc.",CA,95245,"Older American, Servicemember",N/A,Web,4/1/2014,Closed with explanation,Yes,No,779310
12/31/2013,Credit card,,Closing/Cancelling account,,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",NC,27502,,N/A,Phone,1/9/2014,Closed with explanation,Yes,Yes,650743
6/2/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11575,,N/A,Referral,6/6/2016,Closed with explanation,Yes,No,1951629
1/15/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,M&T BANK CORPORATION,OR,97540,,N/A,Web,1/15/2014,Closed with explanation,Yes,Yes,670643
6/10/2013,Credit reporting,,Incorrect information on credit report,Account terms,,,EXPERIAN DELAWARE GP,NC,28752,,N/A,Web,6/11/2013,Closed with explanation,Yes,No,427538
5/23/2012,Bank account or service,Checking account,Deposits and withdrawals,,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98065,,N/A,Web,5/30/2012,Closed with monetary relief,Yes,No,83125
11/13/2016,Credit card,,Other,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",TX,77407,,Consent not provided,Web,11/13/2016,Closed with explanation,Yes,No,2206069
11/21/2012,Mortgage,Reverse mortgage,"Loan servicing, payments, escrow account",,,,"CIT BANK, NATIONAL ASSOCIATION",CT,6441,,N/A,Referral,12/11/2012,Closed with explanation,Yes,Yes,195259
5/26/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,"EQUIFAX, INC.",MA,1835,,N/A,Web,5/25/2013,Closed with explanation,Yes,No,416702
12/22/2016,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",FL,33406,,N/A,Referral,12/30/2016,Closed with explanation,Yes,No,2260739
7/25/2012,Mortgage,Home equity loan or line of credit,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,MA,2132,,N/A,Fax,7/26/2012,Closed with explanation,Yes,Yes,124148
2/8/2016,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",FL,32132,,N/A,Phone,2/8/2016,Closed with explanation,Yes,No,1777660
11/4/2012,Credit card,,Credit line increase/decrease,,,,CAPITAL ONE FINANCIAL CORPORATION,MS,38654,,N/A,Web,11/5/2012,Closed with explanation,Yes,No,187347
1/18/2017,Credit card,,Privacy,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY BANK,NY,12436,,Consent not provided,Web,1/18/2017,Closed with explanation,Yes,No,2295498
4/20/2012,Bank account or service,Checking account,Problems caused by my funds being low,,,,U.S. BANCORP,CO,80128,,N/A,Web,4/24/2012,Closed without relief,Yes,Yes,61864
10/15/2013,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,"ProCollect, Inc",TX,78728,,N/A,Web,10/15/2013,Closed with explanation,Yes,No,559432
6/7/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,"Experian has lied and claimed that there is no enough evidence to support my claim, well I am about to submit proof as to how the XXXX XXXX XXXX account was not mine and why all accounts associated with it are not mine. XXXX XXXX XXXX claims the account was charged off in XXXX by someone named esquire, myself, and a XXXX XXXX. In XXXX XXXX of XXXX, I was married to XXXX XXXX who became XXXX XXXX. In XXXX of XXXX, all her accounts were changed to her married name including a student account she had with XXXX XXXX XXXX. I am attaching a few pictures of her card showing this. Now explain to me why I should not sue you for the XXXX you have cost me XXXX. Give me a XXXX 60 day response and I will make sure court papers are filed the next day. You were caught committing a felony and should be charged but we all know heartless souls like those at Equifax bought all the agiencies that oversea them.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,EXPERIAN DELAWARE GP,VA,233XX,,Consent provided,Web,6/7/2016,Closed with explanation,Yes,No,1957572
11/20/2014,Debt collection,Medical,Improper contact or sharing of info,Contacted employer after asked not to,,,"ATG Credit, LLC",IL,60560,,N/A,Web,11/20/2014,Closed with explanation,Yes,No,1128062
1/4/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"This judgment was filed in XX/XX/XXXX in XXXX County. I found out that the federal prohibits someone from collecting debt after ten years in the state of XXXX. The business alleged debt refers to XXXX, Doing business as LLC. They are out of business and also in the state of XXXX, which is out of the jurisdiction for them to collect from me without filing in the state of XXXX, where the debt originated and since the debt was not sold they are committing fraud. The collection agency that continues to try to collect the debt is a collection agency, which is in the state of XXXX and is the Attorney at Law P.A. Kent Hollins. They use a bogus account number that claims they have a XXXX County case Number registered through the court. I have contact the court about this issue and they have no Judgment listed under the number that the collection agency is using to collect the debt. They are attempting to continue to collect by a the letter sent by them, to persuade me to sign a form that they continuously keep sending, which states if I have a dispute to sign and request a court hearing. My Bank account has been garnished for the second time now and the first time they release the judgment because they found out through investigation that it was bogus and released funds back into my account. The collection agency came back again raising the amount from {$620.00} to {$740.00} on XX/XX/XXXX and then raised the amount XX/XX/XXXX to {$830.00}. I contacted them after speaking with the bank representative to resolve the issue by asking if I can settle out with them by giving them {$50.00} and they refused that offer and requested for more information and after that conversation I told them I would get an attorney and they told me to do this. Since the bank I bank with is a third party to parties that are trying to collect the debt, they are waiting on me to send them a letter and proof of this debt being fraudulent. I am sending my evidence to resolve this issue.",Company believes it acted appropriately as authorized by contract or law,"H. Kent Hollins, Attorney at Law, P.A",GA,300XX,,Consent provided,Web,1/4/2017,Closed with explanation,Yes,No,2273459
4/16/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",TX,79109,,N/A,Phone,4/17/2013,Closed with non-monetary relief,Yes,No,383875
6/2/2014,Debt collection,Credit card,Improper contact or sharing of info,Contacted me after I asked not to,,,ENCORE CAPITAL GROUP INC.,IN,46231,,N/A,Web,6/2/2014,Closed with explanation,Yes,No,876963
8/23/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",WA,98903,,N/A,Referral,8/28/2012,Closed with non-monetary relief,Yes,Yes,140941
4/25/2013,Mortgage,Other mortgage,Settlement process and costs,,,,CARRINGTON MORTGAGE SERVICES,CA,94563,,N/A,Web,4/26/2013,Closed with explanation,Yes,No,391795
2/22/2017,Consumer Loan,Vehicle loan,Taking out the loan or lease,,,,Quality Acceptance llc,CA,92377,,Consent not provided,Web,2/22/2017,Closed with explanation,Yes,Yes,2356160
2/13/2015,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"CITIBANK, N.A.",CA,93960,,N/A,Web,2/13/2015,Closed with explanation,Yes,Yes,1240293
12/5/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,PNC Bank N.A.,GA,30529,,N/A,Web,12/5/2014,Closed,Yes,No,1144666
5/13/2015,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,WA,98604,Servicemember,N/A,Referral,5/13/2015,Closed with explanation,Yes,No,1374573
12/4/2012,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,"CITIBANK, N.A.",CO,80023,,N/A,Web,12/4/2012,Closed with non-monetary relief,Yes,No,203087
3/3/2014,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,ZWICKER & ASSOCIATES,TN,37027,,N/A,Web,3/2/2014,Closed with explanation,Yes,No,739428
4/7/2017,Consumer Loan,Vehicle loan,Problems when you are unable to pay,,,,EXETER FINANCE CORP.,AZ,85249,,,Web,4/7/2017,Closed with explanation,Yes,No,2424511
5/3/2013,Mortgage,Conventional adjustable mortgage (ARM),Credit decision / Underwriting,,,,"WELLS FARGO BANK, NATIONAL ASSOCIATION",KY,40475,,N/A,Web,5/3/2013,Closed with explanation,Yes,No,397914
10/20/2015,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",WI,53211,Older American,Other,Web,10/20/2015,Closed with explanation,Yes,No,1615186
2/6/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,,,"NRA Group, LLC",NY,11104,,N/A,Web,2/6/2015,Closed with explanation,No,No,1229540
7/2/2012,Credit card,,Identity theft / Fraud / Embezzlement,,,,JPMORGAN CHASE & CO.,CO,80903,,N/A,Web,7/3/2012,Closed with monetary relief,Yes,Yes,110323
7/14/2016,Credit reporting,,Incorrect information on credit report,Public record,"I have a satisfied tax lien from XX/XX/XXXX that continues to appear on my credit reports despite being satisfied and cancelled as of XXXX XXXX XXXX. I believe the lien in question resulted from alleged failure to pay sales tax on the purchase of a vehicle from a private owner that continued to be registered in my name without incident up until XXXX. It seems to me then that the lien should not have been there in the first place as one ca n't register and continue to register a car without having paid sales tax however as the incident took place so long ago, I no longer have any documentation to dispute it. It is my simple wish that the lien be removed from my credit report as the debt has been satisfied and misrepresents my credit worthiness to lenders- to my detriment. I can assure everyone the State of Georgia will not take my consumer report into consideration before levying a tax on me. What 's more, the amount owed in the lien was taken out of my tax returns yet again this tax season despite being satisfied, so if the lien could be construed in any way to be a reflection of my credit worthiness, it should be my ability to extend it to the State of Georgia as five months after reporting this error I have yet to see that money returned. If the consumer reporting agencies truly cared about accuracy, then they 'd mention the fact that the fine state of Georgia has brought forth an unverifiable claim of an outstanding debt six years after it was allegedly incurred and followed the act by forgetting it was satisfied one year after I paid, but I digress. I maintain simply that a 13 year old satisfied debt fails to paint an accurate depiction of my credit worthiness to lenders, and should be removed from my credit report.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,301XX,,Consent provided,Web,7/14/2016,Closed with non-monetary relief,Yes,No,2009803
4/11/2016,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"Navient Solutions, LLC.",OH,44118,,N/A,Phone,4/11/2016,Closed with explanation,Yes,No,1873729
8/16/2012,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,"CITIBANK, N.A.",TX,75056,,N/A,Referral,8/20/2012,Closed with explanation,Yes,Yes,137116
1/8/2016,Bank account or service,Checking account,Problems caused by my funds being low,,"The wrk before XXXX I made a math error with my checking account. This should have resulted in XXXX NSF fee but instead my bank Wells Fargo paid the largest to smallest transaction resulting in almost {$500.00} in NSF fees. I reached put to them and spoke to XXXX employees who had no sympathy and rudely stated that is their policy and basically too bad! Then on Tuesday I reported XXXX fraudulent transactions and not only did they pay them they charged me XXXX more NSF fees and they had no recollection so now they have almost {$600.00} of my money. I know other banks in the area do not engage in these practices and XXXX bank actually resolved a class action suit for engaging in these practices! 

I am hopeful that you can assist me in recovering my money. 

Thank You!",Company chooses not to provide a public response,"WELLS FARGO BANK, NATIONAL ASSOCIATION",DE,197XX,,Consent provided,Web,1/8/2016,Closed with monetary relief,Yes,Yes,1734443
4/18/2016,Credit reporting,,Incorrect information on credit report,Public record,I claimed bankruptcy last year and bills are from the year before. They should have been discharged,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WI,534XX,,Consent provided,Web,4/18/2016,Closed with explanation,Yes,No,1883791
3/9/2015,Debt collection,Medical,Communication tactics,Called after sent written cease of comm,,,"Retrieval-Masters Creditors Bureau, Inc.",NY,10977,,N/A,Web,3/9/2015,Closed,Yes,No,1273923
3/28/2016,Student loan,Non-federal student loan,Dealing with my lender or servicer,Need information about my balance/terms,,,Kentucky Higher Education Assistance Authority,GA,30401,Older American,N/A,Referral,4/20/2016,Closed with explanation,Yes,No,1852052
11/26/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Caliber Home Loans, Inc.",CO,80113,,N/A,Web,11/26/2013,Closed with explanation,Yes,No,613105
7/7/2016,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,43612,,Consent not provided,Web,7/8/2016,Closed with non-monetary relief,Yes,No,2000192
